date,trades_count,total_pnl,closing_trades,wins,avg_trade_size_usd,total_volume_usd,long_trades,short_trades,active_accounts,win_rate,long_short_ratio,value,classification,sentiment_bucket,cum_pnl,running_max,drawdown
2023-05-01,3,0.0,0,0,159.0,477.0,3,0,1,,inf,63,Greed,Greed,0.0,0.0,0.0
2023-12-05,9,0.0,0,0,5556.203333333334,50005.83,7,2,1,,3.5,75,Extreme Greed,Greed,0.0,0.0,0.0
2023-12-14,11,-205.43473700000007,6,4,10291.213636363636,113203.35,9,8,1,0.6666666666666666,1.125,72,Greed,Greed,-205.43473700000007,0.0,-205.43473700000007
2023-12-15,2,-24.632033999999997,2,0,5304.975,10609.95,2,2,1,0.0,1.0,70,Greed,Greed,-230.06677100000007,0.0,-230.06677100000007
2023-12-16,3,0.0,0,0,5116.256666666667,15348.77,3,0,1,,inf,67,Greed,Greed,-230.06677100000007,0.0,-230.06677100000007
2023-12-17,14,304.982785,11,7,8305.572857142857,116278.02,14,11,1,0.6363636363636364,1.2727272727272727,73,Greed,Greed,74.9160139999999,74.9160139999999,0.0
2023-12-18,2,0.0,0,0,15582.089999999998,31164.179999999997,2,0,1,,inf,65,Greed,Greed,74.9160139999999,74.9160139999999,0.0
2023-12-19,15,1000.5386120000001,10,10,6106.827333333334,91602.41,15,10,1,1.0,1.5,73,Greed,Greed,1075.454626,1075.454626,0.0
2023-12-20,18,162.732282,8,8,7868.710555555556,141636.79,18,8,1,1.0,2.25,74,Greed,Greed,1238.186908,1238.186908,0.0
2023-12-21,49,537.211402,27,26,2555.795306122449,125233.97,49,27,1,0.9629629629629629,1.8148148148148149,70,Greed,Greed,1775.39831,1775.39831,0.0
2023-12-22,10,141.832675,2,2,8887.428,88874.28,10,2,1,1.0,5.0,74,Greed,Greed,1917.2309850000001,1917.2309850000001,0.0
2023-12-23,13,146.936704,8,8,6033.711538461538,78438.25,13,8,1,1.0,1.625,70,Greed,Greed,2064.1676890000003,2064.1676890000003,0.0
2023-12-24,39,1008.619956,17,15,10332.177948717948,402954.94,35,21,1,0.8823529411764706,1.6666666666666667,71,Greed,Greed,3072.7876450000003,3072.7876450000003,0.0
2023-12-25,3,-245.081348,1,0,19982.836666666666,59948.51,3,1,1,0.0,3.0,73,Greed,Greed,2827.706297,3072.7876450000003,-245.08134800000016
2023-12-27,28,-704.8892269999999,13,4,6121.823571428571,171411.06,28,13,1,0.3076923076923077,2.1538461538461537,73,Greed,Greed,2122.81707,3072.7876450000003,-949.9705750000003
2023-12-28,23,-970.730876,13,0,4352.923913043478,100117.25,23,13,1,0.0,1.7692307692307692,73,Greed,Greed,1152.086194,3072.7876450000003,-1920.7014510000004
2023-12-29,50,508.92214299999995,20,15,11391.1944,569559.72,44,26,1,0.75,1.6923076923076923,65,Greed,Greed,1661.008337,3072.7876450000003,-1411.7793080000004
